序號,分類,場景,單字或片語,詞性縮寫,詞性,IPA音標,中文意思,例句,來源
100,生活常用英語單字,天氣,windy,adj.,形容詞,/ˈwɪndi/,有風的,It's quite windy outside today. (今天外面風很大。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
101,生活常用英語單字,天氣,hot,adj.,形容詞,/hɑːt/,炎熱的,Summer days can be very hot. (夏天可能會很炎熱。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
102,生活常用英語單字,天氣,cold,adj.,形容詞,/koʊld/,寒冷的,Winter nights are cold. (冬天的夜晚很寒冷。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
103,生活常用英語單字,天氣,warm,adj.,形容詞,/wɔːrm/,溫暖的,Spring weather is usually warm. (春天的天氣通常很溫暖。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
104,生活常用英語單字,天氣,cool,adj.,形容詞,/kuːl/,涼爽的,Autumn evenings are cool and pleasant. (秋天的傍晚涼爽宜人。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
105,生活常用英語單字,天氣,temperature,adj.,形容詞,/ˈtemprətʃər/,溫度,The temperature today is 25 degrees. (今天的溫度是25度。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
106,生活常用英語單字,交通,car,n.,名詞,/kɑːr/,汽車,I drive my car to work every day. (我每天開車上班。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
107,生活常用英語單字,交通,bus,n.,名詞,/bʌs/,公車,The bus arrives at 8:30 AM. (公車在早上8點30分到達。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
108,生活常用英語單字,交通,train,n.,名詞,/treɪn/,火車,I take the train to visit my parents. (我搭火車去看我父母。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
109,生活常用英語單字,交通,subway,n.,名詞,/ˈsʌbweɪ/,地鐵,The subway is faster during rush hour. (尖峰時間地鐵比較快。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
110,生活常用英語單字,交通,taxi,n.,名詞,/ˈtæksi/,計程車,I called a taxi to the airport. (我叫了計程車去機場。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
111,生活常用英語單字,交通,bicycle,n.,名詞,/ˈbaɪsɪkəl/,腳踏車,I ride my bicycle to the park. (我騎腳踏車去公園。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
112,生活常用英語單字,交通,motorcycle,n.,名詞,/ˈmoʊtərsaɪkəl/,機車,He rides a motorcycle to work. (他騎機車上班。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
113,生活常用英語單字,交通,airplane,n.,名詞,/ˈerplen/,飛機,The airplane will take off at 3 PM. (飛機將在下午3點起飛。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
114,生活常用英語單字,交通,airport,n.,名詞,/ˈerpɔːrt/,機場,I need to be at the airport two hours early. (我需要提前兩小時到機場。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
115,生活常用英語單字,交通,station,n.,名詞,/ˈsteɪʃən/,車站,The train station is very busy. (火車站很繁忙。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
116,生活常用英語單字,交通,traffic,n.,名詞,/ˈtræfɪk/,交通,Traffic is heavy during rush hour. (尖峰時間交通很繁忙。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
117,生活常用英語單字,交通,ticket,n.,名詞,/ˈtɪkət/,車票,I bought a round-trip ticket. (我買了來回票。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
118,生活常用英語單字,交通,road,n.,名詞,/roʊd/,道路,This road leads to the city center. (這條道路通往市中心。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
119,生活常用英語單字,交通,street,n.,名詞,/striːt/,街道,My house is on Main Street. (我家在主街上。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
120,生活常用英語單字,交通,bridge,n.,名詞,/brɪdʒ/,橋樑,We crossed the bridge to get to the other side. (我們過橋到對岸。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
121,生活常用英語單字,工作,job,n.,名詞,/dʒɑːb/,工作,I love my job as a teacher. (我喜歡我當老師的工作。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
122,生活常用英語單字,工作,office,n.,名詞,/ˈɔːfɪs/,辦公室,I work in an office downtown. (我在市區的辦公室工作。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
123,生活常用英語單字,工作,meeting,n.,名詞,/ˈmiːtɪŋ/,會議,We have a meeting at 3 PM today. (我們今天下午3點有會議。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
124,生活常用英語單字,工作,computer,n.,名詞,/kəmˈpjuːtər/,電腦,I use my computer for most of my work. (我大部分工作都用電腦。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
125,生活常用英語單字,工作,email,n.,名詞,/ˈiːmeɪl/,電子郵件,I check my email every morning. (我每天早上檢查電子郵件。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
126,生活常用英語單字,工作,boss,n.,名詞,/bɔːs/,老闆,My boss is very understanding. (我的老闆很體諒人。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
127,生活常用英語單字,工作,colleague,n.,名詞,/ˈkɑːliːɡ/,同事,I have lunch with my colleagues every Friday. (我每個星期五和同事一起吃午餐。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
128,生活常用英語單字,工作,salary,n.,名詞,/ˈsæləri/,薪水,My salary covers all my basic needs. (我的薪水足以負擔基本需求。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
129,生活常用英語單字,工作,project,n.,名詞,/ˈprɑːdʒekt/,專案,We're working on an important project. (我們正在進行一個重要專案。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
130,生活常用英語單字,工作,deadline,n.,名詞,/ˈdedlaɪn/,截止日期,The deadline for this report is Monday. (這份報告的截止日期是星期一。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
131,生活常用英語單字,工作,interview,n.,名詞,/ˈɪntərvjuː/,面試,I have a job interview tomorrow. (我明天有工作面試。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
132,生活常用英語單字,工作,resume,n.,名詞,/rɪˈzuːmeɪ/,履歷,I need to update my resume. (我需要更新我的履歷。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
133,生活常用英語單字,工作,schedule,n.,名詞,/ˈskedʒuːl/,行程,My schedule is very busy this week. (我這週的行程很忙。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
134,生活常用英語單字,工作,break,n.,名詞,/breɪk/,休息,I take a 15-minute break every two hours. (我每兩小時休息15分鐘。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
135,生活常用英語單字,工作,overtime,n.,名詞,/ˈoʊvərtaɪm/,加班,I worked overtime to finish the project. (我加班完成專案。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
136,生活常用英語單字,服裝,shirt,n.,名詞,/ʃɜːrt/,襯衫,I wear a white shirt to work. (我穿白襯衫上班。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
137,生活常用英語單字,服裝,pants,n.,名詞,/pænts/,長褲,These pants are very comfortable. (這條褲子很舒服。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
138,生活常用英語單字,服裝,dress,n.,名詞,/dres/,洋裝,She wore a beautiful dress to the party. (她穿了一件漂亮洋裝去派對。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
139,生活常用英語單字,服裝,shoes,n.,名詞,/ʃuːz/,鞋子,I need new running shoes. (我需要新的跑鞋。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
140,生活常用英語單字,服裝,socks,n.,名詞,/sɑːks/,襪子,My socks don't match today. (我今天的襪子不成對。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
141,生活常用英語單字,服裝,jacket,n.,名詞,/ˈdʒækət/,外套,"It's cold, so I'm wearing a jacket. (天氣冷，所以我穿外套。)",https://prepedu.com/zh-hant/blog/daily-english-vocabulary
142,生活常用英語單字,服裝,sweater,n.,名詞,/ˈswetər/,毛衣,This sweater keeps me warm. (這件毛衣讓我保持溫暖。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
143,生活常用英語單字,服裝,jeans,n.,名詞,/dʒiːnz/,牛仔褲,I love wearing jeans on weekends. (我喜歡週末穿牛仔褲。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
144,生活常用英語單字,服裝,skirt,n.,名詞,/skɜːrt/,裙子,The skirt matches her blouse perfectly. (這條裙子和她的上衣很搭。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
145,生活常用英語單字,服裝,hat,n.,名詞,/hæt/,帽子,I wear a hat to protect from the sun. (我戴帽子防曬。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
146,生活常用英語單字,服裝,coat,n.,名詞,/koʊt/,大衣,My winter coat is very warm. (我的冬季大衣很保暖。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
147,生活常用英語單字,服裝,tie,n.,名詞,/taɪ/,領帶,He wears a tie to formal meetings. (他開正式會議時戴領帶。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
148,生活常用英語單字,服裝,belt,n.,名詞,/belt/,皮帶,This belt goes well with my pants. (這條皮帶很配我的褲子。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
149,生活常用英語單字,服裝,underwear,n.,名詞,/ˈʌndərwer/,內衣,I buy comfortable underwear. (我買舒適的內衣。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
150,生活常用英語單字,服裝,pajamas,n.,名詞,/pəˈdʒɑːməz/,睡衣,I put on my pajamas before bed. (睡前我穿上睡衣。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
151,生活常用英語單字,家庭,family,n.,名詞,/ˈfæməli/,家庭,I love spending time with my family. (我喜歡和家人在一起的時光。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
152,生活常用英語單字,家庭,parents,n.,名詞,/ˈperənts/,父母,My parents live in another city. (我父母住在另一個城市。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
153,生活常用英語單字,家庭,father,n.,名詞,/ˈfɑːðər/,父親,My father works as an engineer. (我父親是工程師。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
154,生活常用英語單字,家庭,mother,n.,名詞,/ˈmʌðər/,母親,My mother is a great cook. (我母親很會做菜。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
155,生活常用英語單字,家庭,brother,n.,名詞,/ˈbrʌðər/,兄弟,I have one older brother. (我有一個哥哥。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
156,生活常用英語單字,家庭,sister,n.,名詞,/ˈsɪstər/,姊妹,My sister is studying abroad. (我姊姊在國外留學。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
157,生活常用英語單字,家庭,husband,n.,名詞,/ˈhʌzbənd/,丈夫,Her husband is very supportive. (她丈夫很支持她。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
158,生活常用英語單字,家庭,wife,n.,名詞,/waɪf/,妻子,His wife is a doctor. (他妻子是醫生。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
159,生活常用英語單字,家庭,child,n.,名詞,/tʃaɪld/,孩子,They have one child. (他們有一個孩子。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
160,生活常用英語單字,家庭,son,n.,名詞,/sʌn/,兒子,Their son is in high school. (他們兒子在讀高中。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
161,生活常用英語單字,家庭,daughter,n.,名詞,/ˈdɔːtər/,女兒,My daughter loves to draw. (我女兒喜歡畫畫。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
162,生活常用英語單字,家庭,grandfather,n.,名詞,/ˈɡrænfɑːðər/,祖父,My grandfather tells great stories. (我祖父會說很棒的故事。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
163,生活常用英語單字,家庭,grandmother,n.,名詞,/ˈɡrænmʌðər/,祖母,Grandmother makes the best cookies. (祖母做的餅乾最好吃。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
164,生活常用英語單字,家庭,uncle,n.,名詞,/ˈʌŋkəl/,叔叔、伯伯,My uncle lives in Canada. (我叔叔住在加拿大。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
165,生活常用英語單字,家庭,aunt,n.,名詞,/ænt/,阿姨、姑姑,Aunt Mary is visiting us next week. (瑪麗阿姨下週要來看我們。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
166,生活常用英語單字,家庭,cousin,n.,名詞,/ˈkʌzən/,表兄弟姊妹,I'm meeting my cousin for lunch. (我要和表哥吃午餐。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
167,生活常用英語單字,社交關係,friend,n.,名詞,/frend/,朋友,She's my best friend from college. (她是我大學最好的朋友。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
168,生活常用英語單字,社交關係,neighbor,n.,名詞,/ˈneɪbər/,鄰居,My neighbor is very friendly. (我的鄰居很友善。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
169,生活常用英語單字,社交關係,classmate,n.,名詞,/ˈklæsmeɪt/,同學,I'm still in touch with my high school classmates. (我還和高中同學保持聯繫。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
170,生活常用英語單字,社交關係,roommate,n.,名詞,/ˈruːmmeɪt/,室友,My roommate and I share cooking duties. (我和室友輪流做飜。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
171,生活常用英語單字,社交關係,boyfriend,n.,名詞,/ˈbɔɪfrend/,男朋友,Her boyfriend is studying medicine. (她男朋友在讀醫學。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
172,生活常用英語單字,社交關係,girlfriend,n.,名詞,/ˈɡɜːrlfrend/,女朋友,His girlfriend is from Japan. (他女朋友來自日本。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
173,生活常用英語單字,社交關係,partner,n.,名詞,/ˈpɑːrtnər/,伴侶,They've been partners for five years. (他們當伴侶已經五年了。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
174,生活常用英語單字,社交關係,acquaintance,n.,名詞,/əˈkweɪntəns/,熟人,"He's just an acquaintance, not a close friend. (他只是熟人，不是好朋友。)",https://prepedu.com/zh-hant/blog/daily-english-vocabulary
175,生活常用英語單字,社交關係,stranger,n.,名詞,/ˈstreɪndʒər/,陌生人,Don't talk to strangers online. (不要在網上和陌生人聊天。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
176,生活常用英語單字,社交關係,guest,n.,名詞,/ɡest/,客人,We're having guests for dinner tonight. (我們今晚有客人來吃晚餐。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
177,生活常用英語單字,社交關係,host,n.,名詞,/hoʊst/,主人,The host welcomed everyone warmly. (主人熱情地歡迎每個人。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
178,生活常用英語單字,社交關係,team,n.,名詞,/tiːm/,團隊,Our team works well together. (我們團隊合作得很好。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
179,生活常用英語單字,社交關係,group,n.,名詞,/ɡruːp/,群組,I'm part of a study group. (我是讀書小組的一員。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
180,生活常用英語單字,社交關係,community,n.,名詞,/kəˈmjuːnəti/,社區,The community organizes events every month. (社區每個月都會舉辦活動。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
181,生活常用英語單字,社交關係,relationship,n.,名詞,/rɪˈleɪʃənʃɪp/,關係,They have a strong relationship. (他們的關係很穩固。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
182,生活常用英語單字,與日常生活相關的形容詞,happy,adj.,形容詞,/ˈhæpi/,快樂的,I feel happy when I'm with friends. (和朋友在一起時我感到快樂。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
183,生活常用英語單字,與日常生活相關的形容詞,sad,adj.,形容詞,/sæd/,傷心的,She looks sad today. (她今天看起來很傷心。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
184,生活常用英語單字,與日常生活相關的形容詞,tired,adj.,形容詞,/ˈtaɪərd/,疲累的,I'm tired after a long day at work. (工作一整天後我很疲累。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
185,生活常用英語單字,與日常生活相關的形容詞,busy,adj.,形容詞,/ˈbɪzi/,忙碌的,I'm too busy to go out tonight. (我今晚太忙了無法出門。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
186,生活常用英語單字,與日常生活相關的形容詞,free,adj.,形容詞,/friː/,空閒的,Are you free this weekend? (你這個週末有空嗎？),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
187,生活常用英語單字,與日常生活相關的形容詞,big,adj.,形容詞,/bɪɡ/,大的,This house is big enough for our family. (這間房子對我們家來說夠大。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
188,生活常用英語單字,與日常生活相關的形容詞,small,adj.,形容詞,/smɔːl/,小的,I prefer small cars for city driving. (我比較喜歡小車在市區開。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
189,生活常用英語單字,與日常生活相關的形容詞,good,adj.,形容詞,/ɡʊd/,好的,This restaurant has good food. (這間餐廳的食物很好吃。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
190,生活常用英語單字,與日常生活相關的形容詞,bad,adj.,形容詞,/bæd/,壞的,The weather is bad today. (今天天氣很糟。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
191,生活常用英語單字,與日常生活相關的形容詞,new,adj.,形容詞,/nuː/,新的,I bought a new phone yesterday. (我昨天買了一支新手機。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
192,生活常用英語單字,與日常生活相關的形容詞,old,adj.,形容詞,/oʊld/,舊的、老的,My old car needs repair. (我的舊車需要修理。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
193,生活常用英語單字,與日常生活相關的形容詞,expensive,adj.,形容詞,/ɪkˈspensɪv/,昂貴的,This watch is too expensive. (這隻手錶太昂貴了。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
194,生活常用英語單字,與日常生活相關的形容詞,cheap,adj.,形容詞,/tʃiːp/,便宜的,I found a cheap restaurant nearby. (我在附近找到一間便宜的餐廳。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
195,生活常用英語單字,與日常生活相關的形容詞,delicious,adj.,形容詞,/dɪˈlɪʃəs/,美味的,The cake tastes delicious. (這個蛋糕嚐起來很美味。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
196,生活常用英語單字,與日常生活相關的形容詞,beautiful,adj.,形容詞,/ˈbjuːtɪfəl/,美麗的,The sunset is beautiful tonight. (今晚的夕陽很美麗。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
197,生活常用英語單字,與日常生活相關的形容詞,comfortable,adj.,形容詞,/ˈkʌmftəbəl/,舒適的,This chair is very comfortable. (這張椅子很舒適。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
198,生活常用英語單字,與日常生活相關的形容詞,important,adj.,形容詞,/ɪmˈpɔːrtənt/,重要的,Health is important for everyone. (健康對每個人都很重要。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
199,生活常用英語單字,與日常生活相關的形容詞,easy,adj.,形容詞,/ˈiːzi/,容易的,This exercise is easy to do. (這個運動很容易做。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
200,生活常用英語單字,與日常生活相關的形容詞,difficult,adj.,形容詞,/ˈdɪfɪkəlt/,困難的,Learning a new language can be difficult. (學習新語言可能會很困難。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
201,生活常用英語單字,與日常生活相關的形容詞,interesting,adj.,形容詞,/ˈɪntrəstɪŋ/,有趣的,This book is very interesting. (這本書很有趣。),https://prepedu.com/zh-hant/blog/daily-english-vocabulary
